,Name,comment,ID,Year,Rank,Average,Users rated,comment_length,sentiment,averageweight,maxplayers,minage,minplayers,minplaytime,owned,playingtime,stddev,trading,wanting,wishing,yearpublished,boardgamedesigner2,boardgamepublisher2,suggested_language_dependence3,cat1,cat2,cat3,other cat,mech1,mech2,mech3,other mech
139,Firefly: The Game,1610,138161,2013,291,7.39,9050,278.2267080745341,0.08609404251775042,2.9428,5,13,1,120,16612,240,1.55503,332,369,2175,2013,Aaron Dill    John Kovaleski    Sean Sweigart,"Gale Force Nine, LLC, Battlefront Miniatures Ltd, Devir, Heidelberger Spieleverlag",Extensive use of text - massive conversion needed to be playable,Movies / TV / Radio theme, Science Fiction, Space Exploration, Travel,Area Movement, Card Drafting, Dice Rolling," Pick-up and Deliver, Take That, Trading, Variable Player Powers"
140,Targi,1242,118048,2012,141,7.61,8898,181.4855072463768,0.10090222541368464,2.3712,2,12,2,60,13797,60,1.0945,171,850,3256,2012,Andreas Steiger,"KOSMOS, 999 Games, Devir, Filosofia Éditions, Galakta, Giochi Uniti, Group SNE, IELLO, Kaissa Chess & Games, Stupor Mundi, White Goblin Games, Z-Man Games, Inc.",Moderate in-game text - needs crib sheet or paste ups,Card Game,,,,Modular Board, Set Collection, Worker Placement,
141,Ora et Labora,1270,70149,2011,103,7.72,8843,311.751968503937,0.10475859632018653,3.9048,4,13,1,60,10824,180,1.3775,203,1049,3445,2011,Uwe Rosenberg,"Lookout Games, 999 Games, Filosofia Éditions, Game Harbor, Heidelberger Spieleverlag, Hobby Japan, HomoLudicus, Lacerta, uplay.it edizioni, Z-Man Games, Inc.",Some necessary text - easily memorized or small crib sheet,City Building, Economic, Industry / Manufacturing," Medieval, Religious, Territory Building",Modular Board, Pattern Building, Set Collection," Tile Placement, Worker Placement"
142,The 7th Continent,1425,180263,2017,17,8.42,8841,256.0842105263158,0.1299913593138659,2.8654,4,14,1,5,17393,1000,1.60232,104,1345,8004,2017,Ludovic Roudy    Bruno Sautter,Serious Poulp,Extensive use of text - massive conversion needed to be playable,Adventure, Card Game, Exploration, Science Fiction,Cooperative Play, Grid Movement, Hand Management," Modular Board, Storytelling, Variable Player Powers"
143,Bruges,1466,136888,2013,219,7.45,8837,259.91132332878584,0.09615561209609667,2.7489,4,10,2,60,10068,60,1.27762,140,966,2958,2013,Stefan Feld,"Hans im Glück, Arclight, Broadway Toys LTD, dV Giochi, Filosofia Éditions, Hobby World, White Goblin Games, Z-Man Games, Inc.",Extensive use of text - massive conversion needed to be playable,Card Game, City Building, Economic, Renaissance,Dice Rolling, Hand Management,,
144,Clans of Caledonia,1112,216132,2017,43,8.06,8826,284.6852517985611,0.12703220564650075,3.4357,4,12,1,30,11951,120,1.17373,123,832,3799,2017,Juma Al JouJou,"Karma Games, BoardM Factory, Crowd Games, Czacha Games, Gen-X Games, Meeple BR Jogos, PixieGames, Red Glove, テンデイズゲームズ (Ten Days Games)",No necessary in-game text,Economic, Farming,,,Commodity Speculation, Modular Board, Route/Network Building, Variable Player Powers
145,Potion Explosion,1054,180974,2015,400,7.19,8703,169.10626185958253,0.1076869135317398,1.7485,4,8,2,30,13975,45,1.16707,167,390,1993,2015,Stefano Castelli    Andrea Crespi    Lorenzo Silva,"Horrible Games, 999 Games, ADC Blackfire Entertainment, CMON Limited, Edge Entertainment, Galápagos Jogos, Ghenos Games, HaKubia, Heidelberger Spieleverlag, Hobby Japan, InterHit, Lanlalen, Rebel, Swan Panasia Co., Ltd.",No necessary in-game text,Fantasy, Puzzle,,,Pattern Recognition, Set Collection, Take That,
146,Champions of Midgard,1298,172287,2015,94,7.79,8697,227.17488443759632,0.09967718626045696,2.5924,4,10,2,60,13347,90,1.22805,111,850,4008,2015,Ole Steiness,"Grey Fox Games, Corax Games, Czacha Games, ""Dont Panic Games"", Ediciones MasQueOca, Games Warehouse, Lavka Games",Some necessary text - easily memorized or small crib sheet,Adventure, Dice, Fantasy," Fighting, Medieval, Mythology",Card Drafting, Dice Rolling, Set Collection," Variable Player Powers, Worker Placement"
147,Small World Underground,987,97786,2011,327,7.3,8649,185.1661600810537,0.0963365053178375,2.5869,5,8,2,30,14147,90,1.28912,294,408,1996,2011,Philippe Keyaerts,"Days of Wonder, Edge Entertainment, Giochi Uniti, Hobby Japan, Hobby World, Rebel",Moderate in-game text - needs crib sheet or paste ups,Fantasy, Fighting, Territory Building,,Area Control / Area Influence, Area Movement, Dice Rolling, Variable Player Powers
148,Quadropolis,1069,176396,2016,282,7.35,8620,211.66230121608987,0.12193175611794455,2.2056,4,8,2,30,12062,60,1.09455,262,543,2595,2016,François Gandon,"Days of Wonder, ADC Blackfire Entertainment, Asterion Press, Edge Entertainment, Gém Klub Kft., GoKids 玩樂小子, Rebel",No necessary in-game text,City Building, Environmental,,,Hand Management, Pattern Building, Set Collection, Tile Placement
149,Eminent Domain,1692,68425,2011,466,7.09,8601,248.71099290780143,0.09830284334079573,2.5059,4,10,2,45,11637,45,1.32703,582,353,1987,2011,Seth Jaffee,"Tasty Minstrel Games, Arclight, Hobby World, Pegasus Spiele",Moderate in-game text - needs crib sheet or paste ups,Card Game, Civilization, Science Fiction, Space Exploration,Card Drafting, Deck / Pool Building, Hand Management, Variable Phase Order
150,Mombasa,996,172386,2015,65,7.92,8532,312.90562248995985,0.11288986451039505,3.8912,4,12,2,75,10848,150,1.23379,135,735,2875,2015,Alexander Pfister,"eggertspiele, Albi, Arclight, Bright World Games, Delta Vision Publishing, Do it games, The Game Master BV, Gigamic, Lacerta, LudoSentinel, Meeple BR Jogos, Pegasus Spiele, R&R Games, uplay.it edizioni",No necessary in-game text,Economic,,,,Action / Movement Programming, Area Control / Area Influence, Card Drafting," Deck / Pool Building, Hand Management, Simultaneous Action Selection, Stock Holding, Variable Player Powers, Worker Placement"
151,Dice Forge,1040,194594,2017,312,7.34,8531,214.2519230769231,0.12840903420316874,1.9369,4,10,2,45,14075,45,1.20494,198,430,2669,2017,Régis Bonnessée,"Libellud, Asmodee, Asterion Press, Broadway Toys LTD, Gém Klub Kft., Hobby Japan, Lifestyle Boardgames Ltd, Rebel",No necessary in-game text,Ancient, Dice, Fantasy, Mythology,Card Drafting, Deck / Pool Building, Dice Rolling,
152,Raiders of the North Sea,1108,170042,2015,86,7.82,8491,234.5685920577617,0.12028502774229274,2.5535,4,12,2,60,12838,80,1.15665,81,848,3399,2015,Shem Phillips,"Garphill Games, Angry Lion Games, Banana Games, Ediciones Primigenio, Games Factory Publishing, Ghenos Games, Kaissa Chess & Games, Meeple BR Jogos, PixieGames, Renegade Game Studios, REXhry, Schwerkraft-Verlag, White Goblin Games",Moderate in-game text - needs crib sheet or paste ups,Medieval, Nautical,,,Dice Rolling, Hand Management, Set Collection, Worker Placement
153,Imhotep,1151,191862,2016,363,7.24,8386,202.02519548218945,0.11695000732561413,2.0296,4,10,2,40,12231,40,1.10329,258,469,2250,2016,Phil Walker Harding,"KOSMOS, Arclight, Devir, Galakta, Giochi Uniti, IELLO, Korea Boardgames co., Ltd., Lautapelit.fi, Piatnik, Vennerød Forlag AS, White Goblin Games",Some necessary text - easily memorized or small crib sheet,Ancient,,,,Area Control / Area Influence, Modular Board, Set Collection,
154,The Mind,1191,244992,2018,538,7.04,8353,185.04953820319062,0.08472948523798385,1.0821,4,8,2,15,14656,15,1.6369999999999998,100,239,1620,2018,Wolfgang Warsch,"Nürnberger-Spielkarten-Verlag, Brain Games, Coiledspring Games, dV Giochi, FoxGames, Fractal Juegos, Mercurio, Oya, Pandasaurus Games, Popcorn Games, Swan Panasia Co., Ltd., White Goblin Games",No necessary in-game text,Card Game, Deduction, Number,,Cooperative Play, Hand Management,,
155,Inis,1128,155821,2016,109,7.79,8332,299.02925531914894,0.12936545899810964,2.8959,4,14,2,60,11388,90,1.48463,168,1086,5053,2016,Christian Martinez,"Matagot, Gen-X Games, Hobby Japan, Lavka Games, Pegasus Spiele, Portal Games, ""Surfin Meeple China""",Extensive use of text - massive conversion needed to be playable,Ancient, Card Game, Miniatures, Mythology,Area Control / Area Influence, Area Movement, Card Drafting," Hand Management, Modular Board, Variable Phase Order"
156,Grand Austria Hotel,1220,182874,2015,99,7.78,8292,297.9778688524591,0.1142858634440393,3.2316,4,12,2,60,10315,120,1.2729700000000002,125,811,2752,2015,Virginio Gigli    Simone Luciani,"Lookout Games, Cranio Creations, Crowd Games, Funforge, Game Harbor, Lacerta, Mayfair Games, PaperGames (III), SD Games",No necessary in-game text,Economic,,,,Dice Rolling, Hand Management, Set Collection,
157,The Manhattan Project,1358,63628,2012,247,7.42,8287,274.1340206185567,0.10459005824828922,2.9684,5,13,2,120,10850,120,1.26119,335,587,2647,2012,Brandon Tibbetts,"Minion Games, Asmodee, Czacha Games, kártyagyár, Magellan, Marabunta, Pensamento Coletivo",No necessary in-game text,Aviation / Flight, Economic, Fighting," Industry / Manufacturing, Negotiation, World War II",Card Drafting, Take That, Worker Placement,
158,Viticulture,1113,128621,2013,139,7.65,8285,268.50134770889485,0.11026011281811708,2.9347,6,13,2,90,7694,90,1.39956,81,555,2514,2013,Jamey Stegmaier    Alan Stone,"Stonemaier Games, One Moment Games",Moderate in-game text - needs crib sheet or paste ups,Economic, Farming,,,Hand Management, Worker Placement,,
159,Discworld: Ankh-Morpork,1379,91312,2011,422,7.21,8275,241.18636693255985,0.0983184743349414,2.2153,4,11,2,60,9983,60,1.35748,153,434,1991,2011,Martin Wallace,"Treefrog Games, Devir, Esdevium, IELLO, Kaissa Chess & Games, KOSMOS, Mayfair Games, Phalanx Games Polska, REXhry, Zvezda",Moderate in-game text - needs crib sheet or paste ups,City Building, Fantasy, Novel-based,,Area Control / Area Influence, Dice Rolling, Hand Management," Take That, Variable Player Powers"
160,Fury of Dracula (third/fourth edition),1051,181279,2015,190,7.57,8196,257.11703139866796,0.08606514494370272,3.2028,5,14,2,120,16299,180,1.42544,320,673,3879,2015,Frank Brooks    Stephen Hand    Kevin Wilson,"Fantasy Flight Games, ADC Blackfire Entertainment, Arclight, Edge Entertainment, Galakta, Game Harbor, Giochi Uniti, Heidelberger Spieleverlag, Hobby World, WizKids",Extensive use of text - massive conversion needed to be playable,Adventure, Deduction, Fighting," Horror, Novel-based",Partnerships, Point to Point Movement, Secret Unit Deployment, Variable Player Powers
161,Last Will,1309,97842,2011,369,7.21,8085,232.03590527119945,0.1289605848220601,2.6976,5,13,2,45,9352,75,1.17241,290,566,2195,2011,Vladimír Suchý,"Czech Games Edition, Arclight, GaGa Games, Heidelberger Spieleverlag, IELLO, MINDOK, One Moment Games, Rebel, Rio Grande Games, uplay.it edizioni",No necessary in-game text,Card Game, Economic, Humor,,Action Point Allowance System, Hand Management, Worker Placement,
162,Glen More,1593,66362,2010,284,7.34,8027,254.95229127432518,0.10785886813286102,2.6746,5,10,2,45,7824,70,1.14621,154,745,2285,2010,Matthias Cramer,"alea, Ravensburger Spieleverlag GmbH, Rio Grande Games",Some necessary text - easily memorized or small crib sheet,City Building, Economic, Farming,,Commodity Speculation, Dice Rolling, Grid Movement," Set Collection, Tile Placement, Time Track"
163,Bora Bora,1374,127060,2013,170,7.57,8019,289.8901018922853,0.10571173070797132,3.7401,4,12,2,60,10972,120,1.33943,283,508,1989,2013,Stefan Feld,"alea, Ravensburger Spieleverlag GmbH, uplay.it edizioni",No necessary in-game text,Dice,,,,Dice Rolling, Set Collection, Worker Placement,
164,Mascarade,1173,139030,2013,970,6.65,7941,180.3768115942029,0.0925099703250008,1.5245,13,10,2,30,12123,30,1.3981,380,181,1342,2013,Bruno Faidutti,"Repos Production, ADC Blackfire Entertainment, Asmodee, Asterion Press, Hobby Japan, Jolly Thinkers, Rebel, Swan Panasia Co., Ltd.",No necessary in-game text,Bluffing, Medieval, Party Game,,Memory, Variable Player Powers,,
165,Hero Realms,981,198994,2016,169,7.69,7905,181.5290519877676,0.13681452655770804,1.9189,4,12,2,20,14821,30,1.19474,181,204,1475,2016,Robert Dougherty    Darwin Kastle,"White Wizard Games, ADC Blackfire Entertainment, ADC Blackfire Entertainment GmbH, Devir, Games Factory, Games Factory Publishing, Hobby World, IELLO",Moderate in-game text - needs crib sheet or paste ups,Card Game, Fantasy, Fighting,,Card Drafting, Deck / Pool Building, Hand Management, Take That
166,Charterstone,1132,197376,2017,152,7.68,7869,279.8250883392226,0.07797798159513554,2.8587,6,14,1,45,16584,75,1.61669,193,503,4673,2017,Jamey Stegmaier,"Stonemaier Games, Albi, Chronicle Games (Board Game), Delta Vision Publishing, Feuerland Spiele, Ghenos Games, Lavka Games, Ludofy Creative, Maldito Games, Matagot, Rebel, ""Surfin Meeple China"", White Goblin Games",Extensive use of text - massive conversion needed to be playable,City Building, Economic, Medieval,,Card Drafting, Hand Management, Worker Placement,
167,Pandemic: The Cure,1187,150658,2014,296,7.34,7861,201.3133951137321,0.12651170820833538,2.0509,5,8,2,30,12272,30,1.20508,231,469,2267,2014,Matt Leacock,"Z-Man Games, Inc., Asterion Press, Filosofia Éditions, Hobby Japan, Lacerta",Some necessary text - easily memorized or small crib sheet,Dice, Environmental, Medical,,Cooperative Play, Dice Rolling, Hand Management," Point to Point Movement, Press Your Luck, Set Collection, Variable Player Powers"
168,Between Two Cities,1296,168435,2015,511,7.06,7847,213.77932098765442,0.12801777772301784,1.8123,7,8,1,25,9962,25,1.2038799999999998,282,356,1853,2015,Matthew O Malley    Morten Monrad Pedersen    Ben Rosset,"Stonemaier Games, Arclight, Broadway Toys LTD, Ghenos Games, Korea Boardgames co., Ltd., Morning, Reflexshop, SD Games",No necessary in-game text,City Building, Negotiation,,,Card Drafting, Partnerships, Set Collection," Simultaneous Action Selection, Tile Placement"
169,Codenames: Duet,970,224037,2017,113,7.72,7847,165.43505154639175,0.17457131726622038,1.304,4,11,2,15,16418,30,1.176,144,263,1654,2017,Vlaada Chvátil    Scot Eaton,"Czech Games Edition, Asmodee, Cranio Creations, Devir, DiceTree Games, Fantasmagoria, GaGa Games, Gém Klub Kft., Golden Egg Games, Heidelberger Spieleverlag, Hobby Japan, IELLO, Lex Games, MINDOK, One Moment Games, Rebel, White Goblin Games",Unplayable in another language,Card Game, Deduction, Spies/Secret Agents, Word Game,Cooperative Play, Partnerships, Press Your Luck,
170,Glass Road,1297,143693,2013,227,7.46,7812,281.2999228989977,0.10663272224417264,2.9725,4,13,1,20,9745,80,1.229,147,839,2844,2013,Uwe Rosenberg,"Feuerland Spiele, Cranio Creations, Filosofia Éditions, Lacerta, Maldito Games, Mayfair Games, テンデイズゲームズ (Ten Days Games), Toy Box Games, White Goblin Games, Z-Man Games, Inc.",Some necessary text - easily memorized or small crib sheet,City Building, Economic, Medieval,,Card Drafting, Set Collection, Simultaneous Action Selection," Tile Placement, Variable Phase Order"
171,Dungeons & Dragons: Castle Ravenloft Board Game,1593,59946,2010,668,6.98,7789,265.5229127432517,0.11609835018782035,2.5104,5,12,1,60,13347,60,1.43383,473,322,1915,2010,Rob Heinsoo    Peter Lee    Mike Mearls    Bill Slavicsek,Wizards of the Coast,Extensive use of text - massive conversion needed to be playable,Adventure, Exploration, Fantasy," Fighting, Horror, Miniatures",Cooperative Play, Dice Rolling, Grid Movement," Modular Board, Role Playing, Variable Player Powers"
172,Arcadia Quest,1076,155068,2014,107,7.82,7762,205.76208178438662,0.12107000990240095,2.5192,4,13,2,60,12592,60,1.47298,174,627,3479,2014,Thiago Aranha    Guilherme Goulart    Eric M  Lang    Fred Perret,"CMON Limited, Spaghetti Western Games, Asmodee, Asterion Press, Edge Entertainment, Galápagos Jogos",Moderate in-game text - needs crib sheet or paste ups,Adventure, Fantasy, Fighting, Miniatures,Dice Rolling, Grid Movement, Modular Board, Variable Player Powers
173,K2,1199,73761,2010,490,7.1,7751,231.8773978315263,0.09136593008881737,2.2661,5,8,1,30,8284,60,1.23993,172,641,2253,2010,Adam Kałuża,"Rebel, Common Man Games, Ediciones MasQueOca, Heidelberger Spieleverlag, IGAMES, Swan Panasia Co., Ltd., テンデイズゲームズ (Ten Days Games), White Goblin Games",No necessary in-game text,Exploration, Sports,,,Hand Management, Player Elimination, Point to Point Movement, Simultaneous Action Selection
174,Euphoria: Build a Better Dystopia,1246,133848,2013,343,7.29,7736,298.2825040128411,0.11379985399930034,3.1117,6,13,2,60,10337,60,1.3917,228,568,2407,2013,Jamey Stegmaier    Alan Stone,"Stonemaier Games, ADC Blackfire Entertainment, ADC Blackfire Entertainment GmbH, Fire on Board Jogos, GaGa Games, Morning Players, SD Games",Moderate in-game text - needs crib sheet or paste ups,Science Fiction,,,,Dice Rolling, Hand Management, Set Collection," Variable Player Powers, Worker Placement"
175,Lanterns: The Harvest Festival,1125,160851,2015,630,6.97,7703,159.48977777777782,0.10924838602749316,1.565,4,8,2,30,13208,30,1.17511,238,305,1638,2015,Christopher Chung,"Foxtrot Games, Renegade Game Studios, Broadway Toys LTD, Crowd Games, Devir, Games Factory Publishing, Korea Boardgames co., Ltd., Lex Games, Matagot, Pegasus Spiele, White Goblin Games",No necessary in-game text,,,,,Hand Management, Pattern Building, Set Collection, Tile Placement
176,Abyss,1153,155987,2014,344,7.3,7651,225.96010407632264,0.14533772459675048,2.3407,4,14,2,30,9485,60,1.26222,138,484,2220,2014,Bruno Cathala    Charles Chevallier,"Bombyx, Asmodee, Asterion Press, Do it games, Galápagos Jogos, Rebel",Moderate in-game text - needs crib sheet or paste ups,Card Game, Fantasy, Mythology, Science Fiction,Auction/Bidding, Card Drafting, Hand Management," Press Your Luck, Set Collection"
177,Las Vegas,1256,117959,2012,474,7.11,7471,172.05015923566884,0.11581982085247886,1.1978,5,8,2,30,9789,30,1.20609,116,306,995,2012,Rüdiger Dorn,"alea, Ravensburger Spieleverlag GmbH, Broadway Toys LTD, Oya",No necessary in-game text,Dice,,,,Area Control / Area Influence, Dice Rolling,,
178,Paperback,1286,141572,2014,355,7.27,7291,202.6135303265941,0.13200989051756018,1.9817,5,8,2,45,11783,45,1.19464,318,631,2730,2014,Tim Fowers,"Fowers Games, (Self-Published), Baldar, MS Edizioni",Unplayable in another language,Card Game, Print & Play, Word Game,,Card Drafting, Cooperative Play, Deck / Pool Building,
179,Runewars,1175,59294,2010,175,7.67,7243,299.74042553191487,0.10270086178180096,3.7652,4,14,2,180,9434,240,1.51591,284,441,2560,2010,Corey Konieczka,"Fantasy Flight Games, Edge Entertainment, Galakta, Giochi Uniti, Heidelberger Spieleverlag, Stupor Mundi, Wargames Club Publishing",Extensive use of text - massive conversion needed to be playable,Adventure, Fantasy, Fighting, Wargame,Area Control / Area Influence, Auction/Bidding, Grid Movement," Modular Board, Simultaneous Action Selection, Variable Player Powers"
180,Navegador,1265,66589,2010,186,7.56,7233,271.58735177865606,0.13001120144423242,3.0957,5,12,2,60,6990,90,1.18365,135,634,1942,2010,Mac Gerdts,"PD-Verlag, Cranio Creations, The Game Master BV, Rio Grande Games, Ystari Games",No necessary in-game text,Economic, Exploration, Nautical, Renaissance,Area Movement, Rondel,,
181,Elysium,1000,163968,2015,349,7.28,7189,290.947,0.10095585913501924,2.7716,4,14,2,60,10547,60,1.20916,362,362,1922,2015,Matthew Dunstan    Brett J  Gilbert,"Space Cowboys, Asmodee, Asterion Press, Rebel",Some necessary text - easily memorized or small crib sheet,Ancient, Card Game, Mythology,,Card Drafting, Set Collection,,
182,Arboretum,1302,140934,2015,271,7.42,7159,220.747311827957,0.11642808682948075,2.1551,4,8,2,30,12829,30,1.22556,172,664,3086,2015,Dan Cassar,"Filosofia Éditions, Renegade Game Studios, Z-Man Games, Inc., ABACUSSPIELE, Fractal Juegos, Gen-X Games, Lavka Games, Rebel, Vagabund",No necessary in-game text,Bluffing, Card Game,,,Hand Management, Set Collection, Tile Placement,
183,Mission: Red Planet (Second Edition),907,176920,2015,213,7.52,7110,204.49724366041897,0.12704871146466254,2.2228,6,14,2,45,9821,90,1.16601,130,633,3087,2015,Bruno Cathala    Bruno Faidutti,"Fantasy Flight Games, Edge Entertainment, Galakta, Giochi Uniti, Heidelberger Spieleverlag",Moderate in-game text - needs crib sheet or paste ups,Science Fiction,,,,Area Control / Area Influence, Hand Management, Simultaneous Action Selection,
184,Pandemic Legacy: Season 2,906,221107,2017,33,8.26,7101,303.5,0.1628230395229846,3.2222,4,14,2,60,15801,60,1.74804,112,327,3326,2017,Rob Daviau    Matt Leacock,"Z-Man Games, Inc., Asmodee, Devir, Gém Klub Kft., Hobby Japan, Korea Boardgames co., Ltd., Lacerta, Lifestyle Boardgames Ltd",Extensive use of text - massive conversion needed to be playable,Environmental, Exploration, Medical,,Cooperative Play, Hand Management, Pick-up and Deliver," Point to Point Movement, Set Collection, Variable Player Powers"
185,Root,1090,237182,2018,57,8.1,7002,307.65779816513765,0.1174442521976502,3.4687,4,10,2,60,12789,90,1.46176,74,1354,7481,2018,Cole Wehrle,"Leder Games, 2Tomatoes, Crowd Games, Fox in the Box, Matagot, Meeple BR Jogos, MS Edizioni, Portal Games, Quality Beast, YOKA Games",Extensive use of text - massive conversion needed to be playable,Animals, Fantasy, Wargame,,Action / Movement Programming, Area Control / Area Influence, Dice Rolling," Hand Management, Point to Point Movement, Variable Player Powers"
186,Trains,1258,121408,2012,409,7.2,6978,237.36963434022255,0.12729260329756434,2.3894,4,12,2,45,9196,45,1.26911,440,326,1379,2012,Hisashi Hayashi,"OKAZU Brand, Alderac Entertainment Group, Filosofia Éditions, Game Harbor, Japon Brand, Pegasus Spiele",Moderate in-game text - needs crib sheet or paste ups,Card Game, Territory Building, Trains,,Deck / Pool Building, Hand Management, Route/Network Building,
187,Anachrony,1020,185343,2017,50,8.13,6928,304.59901960784316,0.12284623103475732,3.9729,4,15,1,30,10542,120,1.3771,84,830,4033,2017,Dávid Turczi    Richard Amann    Viktor Peter,"Albi, Angry Lion Games, Crowd Games, Engames, Maldito Games, Mindclash Games",No necessary in-game text,Economic, Science Fiction,,,Action Point Allowance System, Card Drafting, Dice Rolling," Set Collection, Variable Player Powers, Worker Placement"
188,Qwixx,1082,131260,2012,696,6.89,6897,141.7865064695009,0.12252573260987384,1.1284,5,8,2,15,11848,15,1.17755,122,67,470,2012,Steffen Benndorf,"Nürnberger-Spielkarten-Verlag, dV Giochi, FoxMind Israel, Game Factory, Gamewright, Gigamic, Kanga Games, MINDOK, Morapiaf, Vagabund, Vennerød Forlag AS, White Goblin Games",No necessary in-game text,Dice,,,,Dice Rolling, Paper-and-Pencil,,
189,A Few Acres of Snow,1419,79828,2011,274,7.41,6875,289.6948555320648,0.0866524474939531,3.0328,2,14,2,60,8575,120,1.50514,295,646,2672,2011,Martin Wallace,"Treefrog Games, Asmodee, Asterion Press",Some necessary text - easily memorized or small crib sheet,Age of Reason, American Indian Wars, Card Game," Territory Building, Wargame",Area Control / Area Influence, Card Drafting, Deck / Pool Building," Hand Management, Point to Point Movement"
190,Rise of Augustus,1305,137297,2013,844,6.76,6860,189.9295019157088,0.1083804047624614,1.6305,6,8,2,30,8659,30,1.22763,352,151,829,2013,Paolo Mori,"Hurrican, Lautapelit.fi",No necessary in-game text,Ancient, Card Game,,,Card Drafting, Press Your Luck, Set Collection,
191,Roll Player,937,169426,2016,222,7.53,6826,228.65848452508004,0.1297148577370599,2.3846,4,10,1,60,11133,90,1.18209,110,852,3286,2016,Keith Matejka,"Thunderworks Games, Arclight, Banana Games, Gen-X Games, Intrafin Games, Ludofy Creative, Mandoo Games, Ogry Games, Pegasus Spiele, Raven Distribution, REXhry",Extensive use of text - massive conversion needed to be playable,Dice, Fantasy,,,Card Drafting, Dice Rolling, Set Collection, Variable Player Powers
192,XCOM: The Board Game,880,163602,2015,559,7.09,6807,274.8761363636364,0.06886358697062084,2.9015,4,14,1,60,10656,120,1.5016200000000002,372,315,2168,2015,Eric M  Lang,"Fantasy Flight Games, 2K Games, Inc., ADC Blackfire Entertainment, Edge Entertainment, Firaxis Games, Inc., Galakta, Galápagos Jogos, Giochi Uniti, Heidelberger Spieleverlag",Extensive use of text - massive conversion needed to be playable,Electronic, Miniatures, Real-time," Science Fiction, Video Game Theme",Cooperative Play, Dice Rolling, Hand Management," Press Your Luck, Variable Player Powers"
193,Mage Wars Arena,1104,101721,2012,185,7.69,6800,275.7472826086956,0.10930009788494964,3.6575,2,13,2,90,11907,90,1.63497,702,298,2357,2012,Bryan Pope    Benjamin Pope,"Arcane Wonders, Asterion Press, Devir, Game Harbor, Games Factory Publishing, Marabunta, Pegasus Spiele, Zvezda",Extensive use of text - massive conversion needed to be playable,Card Game, Fantasy, Fighting,,Dice Rolling, Grid Movement, Simultaneous Action Selection, Variable Player Powers
194,Dungeon Roll,1381,138788,2013,2184,6.15,6799,180.64735698769007,0.07834684113109998,1.3393,4,8,1,15,13402,15,1.4126299999999998,712,47,533,2013,Chris Darden,"Tasty Minstrel Games, Edge Entertainment, Galápagos Jogos, Hobby World, Pegasus Spiele, Raven Distribution",Some necessary text - easily memorized or small crib sheet,Dice, Fantasy, Fighting,,Dice Rolling, Hand Management, Press Your Luck, Variable Player Powers
195,Harry Potter: Hogwarts Battle,1081,199042,2016,275,7.52,6797,273.4560592044404,0.13506293263093078,2.0602,4,11,2,30,14386,60,1.32653,149,387,2329,2016,Forrest Pruzan Creative    Kami Mandell    Andrew Wolf,"Asmodee, KOSMOS, Rebel, REXhry, The OP",Moderate in-game text - needs crib sheet or paste ups,Card Game, Fantasy, Movies / TV / Radio theme, Novel-based,Cooperative Play, Deck / Pool Building, Variable Player Powers,
196,Risk Legacy,1135,105134,2011,270,7.48,6722,271.44581497797355,0.12115230465081853,2.5969,5,13,3,60,11764,60,1.63958,173,317,2450,2011,Rob Daviau    Chris Dupuis,"Hasbro, Heidelberger Spieleverlag, Wizards of the Coast",Moderate in-game text - needs crib sheet or paste ups,Science Fiction, Wargame,,,Area Movement, Card Drafting, Dice Rolling," Player Elimination, Variable Player Powers"
197,La Granja,999,146886,2014,132,7.71,6716,302.40440440440443,0.11636636544913928,3.5787,4,12,1,90,8997,120,1.22876,220,619,2296,2014,Michael Keller  II     Andreas  ode   Odendahl,"Spielworxx, 999 Games, Across the Board, Arclight, Do it games, G3, LudoSentinel, PD-Verlag, Pearl Games, Stronghold Games, Toy Box Games",Moderate in-game text - needs crib sheet or paste ups,Economic, Farming,,,Area Control / Area Influence, Dice Rolling, Hand Management," Simultaneous Action Selection, Variable Player Powers, Worker Placement"
198,The Gallerist,934,125153,2015,64,8.01,6707,332.8822269807281,0.12553480162154254,4.2635,4,13,1,60,9589,150,1.37407,102,1031,3894,2015,Vital Lacerda,"Eagle-Gryphon Games, Angry Lion Games, Fire on Board Jogos, Giochix.it",No necessary in-game text,Economic,,,,Commodity Speculation, Set Collection, Worker Placement,
199,Terror in Meeple City,1266,97903,2013,700,6.9,6652,174.76303317535545,0.0936488999343742,1.4841,4,8,2,45,10612,45,1.26115,362,337,1549,2013,Antoine Bauza    Ludovic Maublanc,Repos Production,No necessary in-game text,Action / Dexterity, Horror,,,Area Movement, Set Collection, Variable Player Powers,
200,Karuba,1000,183251,2015,406,7.23,6630,183.643,0.13750103835104505,1.4577,4,8,2,30,9271,40,1.08893,159,446,2060,2015,Rüdiger Dorn,"Conclave Editora, HABA, Swan Panasia Co., Ltd.",No necessary in-game text,Puzzle, Racing,,,Grid Movement, Route/Network Building, Simultaneous Action Selection, Tile Placement
201,Deep Sea Adventure,1095,169654,2014,553,7.09,6600,181.4940639269406,0.0970785820506523,1.1899,6,8,2,30,10056,30,1.24616,103,313,1540,2014,Jun Sasaki    Goro Sasaki,"Lavka Games, Oink Games, PopcornEdu",No necessary in-game text,Dice, Exploration, Nautical, Party Game,Pick-up and Deliver, Press Your Luck, Roll / Spin and Move,
