,Name,comment,ID,Year,Rank,Average,Users rated,comment_length,sentiment,averageweight,maxplayers,minage,minplayers,minplaytime,owned,playingtime,stddev,trading,wanting,wishing,yearpublished,boardgamedesigner2,boardgamepublisher2,suggested_language_dependence3,cat1,cat2,cat3,other cat,mech1,mech2,mech3,other mech
10,Forbidden Island,5919,65244,2010,634,6.82,35136,162.29227910119954,0.14629775271828147,1.7421,4,10,2,30,59953,30,1.19108,1808,214,3213,2010,Matt Leacock,"Gamewright, ADC Blackfire Entertainment, AURUM, Inc., Cocktail Games, Competo / Marektoy, Devir, FoxMind Israel, Kaissa Chess & Games, Kanga Games, Lex Games, Lifestyle Boardgames Ltd, Rebel, Reflexshop, Schmidt Spiele, uplay.it edizioni, White Goblin Games",Some necessary text - easily memorized or small crib sheet,Adventure, Fantasy,,,Action Point Allowance System, Cooperative Play, Grid Movement," Hand Management, Modular Board, Pick-up and Deliver, Set Collection, Variable Player Powers"
11,Patchwork,3768,163412,2014,63,7.72,33233,151.50318471337582,0.13085175701934407,1.6844,2,8,2,15,49157,30,1.12406,339,768,4756,2014,Uwe Rosenberg,"Lookout Games, 999 Games, Asmodee, Compaya.hu - Gamer Café Kft., Crowd Games, Funforge, GeGe Co. Ltd., Kaissa Chess & Games, Korea Boardgames co., Ltd., Lacerta, Lautapelit.fi, Liam Games, Ludicus, Ludofy Creative, Maldito Games, Mayfair Games, MINDOK, NeoTroy Games, Rebel, uplay.it edizioni, Нескучные игры",No necessary in-game text,Abstract Strategy, Puzzle,,,Card Drafting, Tile Placement, Time Track,
12,Dead of Winter: A Crossroads Game,3921,150376,2014,77,7.68,32598,259.858454475899,0.08803346441854981,3.0078,5,13,2,60,44598,120,1.4133,930,894,7710,2014,Jonathan Gilmour    Isaac Vega,"Plaid Hat Games, Arclight, Cube Factory of Ideas, Edge Entertainment, Galápagos Jogos, Game Harbor, Gém Klub Kft., Gemenot, Heidelberger Spieleverlag, Korea Boardgames co., Ltd., MINDOK, Raven Distribution",Extensive use of text - massive conversion needed to be playable,Bluffing, Deduction, Horror, Zombies,Action Point Allowance System, Area Movement, Cooperative Play," Dice Rolling, Hand Management, Hidden Traitor, Press Your Luck, Storytelling, Trading, Variable Player Powers, Voting"
13,Terra Mystica,4111,120677,2012,11,8.2,32471,267.98637801021647,0.10860956838091056,3.9509,5,12,2,60,36054,150,1.46689,514,1673,10689,2012,Jens Drögemüller    Helge Ostertag,"Feuerland Spiele, Bard Centrum Gier, Cranio Creations, Devir, Filosofia Éditions, FunBox Jogos, Gém Klub Kft., HomoLudicus, Mandala Jogos, MINDOK, Swan Panasia Co., Ltd., テンデイズゲームズ (Ten Days Games), White Goblin Games, Z-Man Games, Inc., Zvezda",No necessary in-game text,Civilization, Economic, Fantasy, Territory Building,Area Control / Area Influence, Route/Network Building, Variable Phase Order, Variable Player Powers
14,Hanabi,4529,98778,2010,313,7.14,31860,176.37911238684038,0.10723378761613214,1.6989,5,8,2,25,52403,25,1.38265,1104,263,2666,2010,Antoine Bauza,"ABACUSSPIELE, Cocktail Games, Asmodee, Brain Games, Broadway Toys LTD, Competo / Marektoy, cutia.ro, Galápagos Jogos, Gém Klub Kft., Hobby Japan, Kaissa Chess & Games, Lifestyle Boardgames Ltd, Oliphante, PaperGames (III), R&R Games, Rebel, REXhry, Spin Master Ltd., Swan Panasia Co., Ltd., Les XII Singes",No necessary in-game text,Card Game, Deduction, Memory,,Cooperative Play, Hand Management, Memory, Set Collection
15,Pandemic Legacy: Season 1,4022,161936,2015,2,8.64,30921,262.57235206365004,0.13338540761359546,2.8284,4,13,2,60,49878,60,1.60713,238,776,8491,2015,Rob Daviau    Matt Leacock,"Z-Man Games, Inc., Asterion Press, Devir, Filosofia Éditions, Gém Klub Kft., Hobby Japan, Jolly Thinkers, Korea Boardgames co., Ltd., Lacerta, Lifestyle Boardgames Ltd, MINDOK",Extensive use of text - massive conversion needed to be playable,Environmental, Medical,,,Action Point Allowance System, Cooperative Play, Hand Management," Point to Point Movement, Set Collection, Trading, Variable Player Powers"
16,Coup,4343,131357,2012,434,7.04,28986,150.8777342850564,0.10214305740156662,1.4181,6,13,2,15,47471,15,1.40895,987,234,2502,2012,Rikki Tahta,"Indie Boards & Cards, La Mame Games, (Unknown), After 5 Games, El Dragón Azul, FoxGames, FunBox Jogos, Heidelberger Spieleverlag, Igrato, Kaissa Chess & Games, Mandala Jogos, NeoTroy Games, New Games Order, LLC, REXhry, Siam Board Games, テンデイズゲームズ (Ten Days Games), Zacatrus",Some necessary text - easily memorized or small crib sheet,Bluffing, Card Game, Deduction," Party Game, Political",Memory, Player Elimination, Take That, Variable Player Powers
17,Star Realms,3903,147020,2014,89,7.61,28204,188.5995388162952,0.13843081433159798,1.9555,2,12,2,20,42041,20,1.2685,581,323,2958,2014,Robert Dougherty    Darwin Kastle,"White Wizard Games, ADC Blackfire Entertainment, ADC Blackfire Entertainment GmbH, Broadway Toys LTD, Devir, Games Factory, Games Factory Publishing, Hobby World, IELLO",Some necessary text - easily memorized or small crib sheet,Card Game, Fighting, Science Fiction,,Card Drafting, Deck / Pool Building, Hand Management, Take That
18,Takenoko,3549,70919,2011,236,7.3,27810,168.29247675401518,0.147837205628773,1.9776,4,8,2,45,42047,45,1.17464,488,807,5500,2011,Antoine Bauza,"Bombyx, Matagot, Asmodee, Asterion Press, Bergsala Enigma, Filosofia Éditions, FoxMind Israel, Galápagos Jogos, Gém Klub Kft., Hobby Japan, Hobby World, Kaissa Chess & Games, Lex Games, Pegasus Spiele, Rebel, REXhry, ""Surfin Meeple China""",No necessary in-game text,Animals, Environmental, Farming, Territory Building,Action Point Allowance System, Dice Rolling, Grid Movement," Modular Board, Pattern Building, Route/Network Building, Set Collection, Tile Placement"
19,Azul,3099,230802,2017,37,7.94,27354,176.17747660535656,0.1634597831079138,1.7991,4,8,2,30,41499,45,1.13514,177,1185,7147,2017,Michael Kiesling,"Next Move Games, Plan B Games, Asmodee, Broadway Toys LTD, Divercentro, Galápagos Jogos, Gém Klub Kft., Ghenos Games, Hobby Japan, KADABRA, Korea Boardgames co., Ltd., Lacerta, MINDOK, Orangutan Games, Pegasus Spiele, Tower Tactic Games, TWOPLUS Games, Zvezda",No necessary in-game text,Abstract Strategy, Renaissance,,,Card Drafting, Pattern Building, Set Collection, Tile Placement
20,Robinson Crusoe: Adventures on the Cursed Island,3531,121921,2012,41,7.91,26637,242.50269045596144,0.08320949492521779,3.7568,4,14,1,60,41038,120,1.40549,821,1454,9598,2012,Ignacy Trzewiczek,"Portal Games, Albi, Conclave Editora, DiceTree Games, Edge Entertainment, Filosofia Éditions, Gém Klub Kft., Hobby World, MYBG Co., Ltd., Pegasus Spiele, uplay.it edizioni, Z-Man Games, Inc.",Extensive use of text - massive conversion needed to be playable,Adventure, Exploration, Fighting, Novel-based,Action / Movement Programming, Cooperative Play, Deck / Pool Building," Dice Rolling, Tile Placement, Variable Player Powers, Worker Placement"
21,Sushi Go!,3573,133473,2013,383,7.08,26452,127.13909879652952,0.15140407467351502,1.1628,5,8,2,15,45559,15,1.13717,766,179,1742,2013,Phil Walker Harding,"Adventureland Games, ADC Blackfire Entertainment, AURUM, Inc., Cocktail Games, Devir, FoxMind Israel, Gameland 游戏大陆, Gamewright, Hemz Universal Games Co. Ltd., Kanga Games, Lifestyle Boardgames Ltd, NeoTroy Games, Rebel, Reflexshop, uplay.it edizioni, White Goblin Games, Zoch Verlag",No necessary in-game text,Card Game,,,,Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection
22,Five Tribes,3249,157354,2014,55,7.78,25545,228.32871652816246,0.11553357156245085,2.882,4,13,2,40,33355,80,1.2706,328,1242,7248,2014,Bruno Cathala,"Days of Wonder, Asterion Press, Galápagos Jogos, Gém Klub Kft., Rebel",No necessary in-game text,Animals, Arabian, Fantasy, Mythology,Area Control / Area Influence, Auction/Bidding, Card Drafting," Modular Board, Set Collection"
23,Blood Rage,3231,170216,2015,30,8.03,25382,232.9445991952956,0.13483090612058415,2.8888,4,14,2,60,31275,90,1.39605,252,1418,8228,2015,Eric M  Lang,"CMON Limited, Asmodee, Asterion Press, BoardM Factory, Crowd Games, Delta Vision Publishing, Edge Entertainment, Fantasmagoria, Galápagos Jogos, Game Harbor, Guillotine Games, Portal Games, REXhry",Moderate in-game text - needs crib sheet or paste ups,Fantasy, Fighting, Miniatures, Mythology,Action Point Allowance System, Area Control / Area Influence, Area Movement," Card Drafting, Hand Management, Memory, Simultaneous Action Selection"
