,index,Name,comment,ID,Year,Rank,Average,Users rated,comment_length,Good_bad,sentiment,averageweight,maxplayers,minage,minplayers,minplaytime,owned,playingtime,stddev,trading,wanting,wishing,yearpublished,boardgamedesigner2,boardgamecategory2,boardgamemechanic2,boardgamepublisher2,suggested_language_dependence3,Strategy Game Rank,Family Game Rank,mech1,mech2,mech3,other mech,playingtime_cat
325,325,A Game of Thrones: Hand of the King,335,205610,2016,1307,6.76,2349,166.91641791044776,Bad,0.10019278498555803,1.1915,4,14,2,15,4405,30,1.21232,108,53,372,2016,Bruno Cathala,"Abstract Strategy, Card Game, Fantasy","Card Drafting, Grid Movement, Set Collection","ADC Blackfire Entertainment, Asterion Press, Fantasy Flight Games, Galakta, Heidelberger Spieleverlag, Hobby World, Kaissa Chess & Games, Siam Board Games",Some necessary text - easily memorized or small crib sheet,,341.0,Card Drafting, Grid Movement, Set Collection,,1_<= 30
387,387,Ab in die Tonne,52,136416,2013,6075,6.13,261,166.51923076923075,Bad,0.08653300138304378,1.1304,5,6,2,30,334,30,1.26765,7,13,62,2013,Carlo A  Rossi,"Action / Dexterity, Card Game, ""Childrens Game""",Simultaneous Action Selection,"ABACUSSPIELE, GoKids 玩樂小子, Hobby World, Lautapelit.fi",No necessary in-game text,,1285.0,Simultaneous Action Selection,,,,1_<= 30
402,402,Abracada...What?,208,163930,2014,2054,6.58,1290,170.15384615384616,Bad,0.12083202462695446,1.6721,5,7,2,30,1741,30,1.29748,58,41,233,2014,Gary Kim,Deduction,"Memory, Press Your Luck","Korea Boardgames co., Ltd., Asterion Press, Broadway Toys LTD, Cube Factory of Ideas, Divedice, Ediciones MasQueOca, Moonster Games, Pegasus Spiele, Z-Man Games, Inc.",No necessary in-game text,,564.0,Memory, Press Your Luck,,,1_<= 30
479,479,Adventure Land,295,183231,2015,1310,6.96,1538,226.06101694915253,Bad,0.115996676318887,1.9318,4,10,2,45,2627,45,1.16445,89,238,811,2015,Michael Kiesling    Wolfgang Kramer,Fantasy,"Area Control / Area Influence, Grid Movement",HABA,No necessary in-game text,,308.0,Area Control / Area Influence, Grid Movement,,,2_31-60
487,487,Adventure Time Love Letter,222,175307,2015,1195,7.24,1382,120.41891891891892,Good,0.20177321686019906,1.0263,4,10,2,20,3082,20,1.31918,44,24,148,2015,Seiji Kanai,"Card Game, Deduction, Movies / TV / Radio theme","Hand Management, Player Elimination","Alderac Entertainment Group, Cryptozoic Entertainment",Some necessary text - easily memorized or small crib sheet,,282.0,Hand Management, Player Elimination,,,1_<= 30
516,516,Africana,257,118000,2012,1837,6.75,1175,250.0466926070039,Bad,0.10490933889963253,2.0177,4,8,2,60,1644,60,1.21175,75,77,304,2012,Michael Schacht,"Adventure, Exploration, Travel","Card Drafting, Pick-up and Deliver, Point to Point Movement, Set Collection","ABACUSSPIELE, Albi, Filosofia Éditions, Lautapelit.fi, Z-Man Games, Inc.",No necessary in-game text,,461.0,Card Drafting, Pick-up and Deliver, Point to Point Movement, Set Collection,2_31-60
551,551,Age of War,1008,155695,2014,1558,6.42,5141,151.42857142857142,Bad,0.10162479664130088,1.1148,6,14,2,15,7826,30,1.29768,188,94,629,2014,Reiner Knizia,"Dice, Medieval","Dice Rolling, Press Your Luck, Set Collection, Take That","Arclight, cutia.ro, Edge Entertainment, Fantasy Flight Games, Giochi Uniti, Heidelberger Spieleverlag, Precisamente",No necessary in-game text,,480.0,Dice Rolling, Press Your Luck, Set Collection, Take That,1_<= 30
567,567,Agricola: Family Edition,186,205418,2016,1302,7.21,1190,191.76344086021504,Good,0.15445054768369948,2.4,4,8,1,45,2349,45,1.21669,63,61,260,2016,Uwe Rosenberg,"Animals, Farming",Worker Placement,"999 Games, Asmodee, Hobby Japan, Korea Boardgames co., Ltd., Lacerta, Lookout Games, Ludicus, Mayfair Games, Swan Panasia Co., Ltd., uplay.it edizioni",No necessary in-game text,,294.0,Worker Placement,,,,2_31-60
592,592,Airlines Europe,1335,90419,2011,338,7.33,6322,230.48764044943817,Good,0.11798124996558647,2.4367,5,10,2,75,7350,75,1.1838,186,548,1914,2011,Alan R  Moon,"Aviation / Flight, Economic","Card Drafting, Route/Network Building, Set Collection, Stock Holding","ABACUSSPIELE, Competo / Marektoy, Filosofia Éditions, G3, Hobby Japan, Hobby World, Rio Grande Games",No necessary in-game text,217.0,49.0,Card Drafting, Route/Network Building, Set Collection, Stock Holding,3_61-120
699,699,Aloha Pioha,20,183949,2016,6273,6.57,153,68.95,Bad,0.095,1.2857,4,8,1,15,198,30,1.35871,7,1,21,2016,Israel Cendrero    Sheila Santos,"Animals, Bluffing, Card Game, Memory, Print & Play","Area Control / Area Influence, Hand Management, Trick-taking",Ediciones Primigenio,Moderate in-game text - needs crib sheet or paste ups,,1306.0,Area Control / Area Influence, Hand Management, Trick-taking,,1_<= 30
813,813,Animals on Board,319,191572,2016,1657,6.67,1605,203.20376175548589,Bad,0.1505286009766114,1.5,4,8,2,15,2342,30,1.03564,124,63,277,2016,Wolfgang Sentker    Ralf zur Linde,Animals,Set Collection,"999 Games, Ediciones MasQueOca, eggertspiele, G3, Korea Boardgames co., Ltd., Lautapelit.fi, Ludicus, Matagot, Pegasus Spiele, Piatnik, Stronghold Games, Swan Panasia Co., Ltd.",No necessary in-game text,,431.0,Set Collection,,,,1_<= 30
857,857,Antidote,184,150783,2013,2915,6.4,935,213.17934782608697,Bad,0.0684534987812756,1.6279,7,13,2,20,2104,30,1.4112799999999999,106,13,179,2013,Dennis Hoyle,"Card Game, Deduction, Medical, Print & Play","Hand Management, Partnerships, Simultaneous Action Selection, Variable Phase Order","(Web published), Bellwether Games",No necessary in-game text,,826.0,Hand Management, Partnerships, Simultaneous Action Selection, Variable Phase Order,1_<= 30
909,909,Arboretum,1302,140934,2015,271,7.42,7159,220.747311827957,Good,0.11642808682948075,2.1551,4,8,2,30,12829,30,1.22556,172,664,3086,2015,Dan Cassar,"Bluffing, Card Game","Hand Management, Set Collection, Tile Placement","Filosofia Éditions, Renegade Game Studios, Z-Man Games, Inc., ABACUSSPIELE, Fractal Juegos, Gen-X Games, Lavka Games, Rebel, Vagabund",No necessary in-game text,,36.0,Hand Management, Set Collection, Tile Placement,,1_<= 30
913,913,Arcade,8,175845,2015,9989,7.74,32,318.875,Good,0.12027473958333333,2.8,2,8,2,15,71,30,1.3653600000000001,2,61,177,2015,Néstor Romeral Andrés,"Science Fiction, Video Game Theme","Dice Rolling, Modular Board, Simulation",nestorgames,No necessary in-game text,,1509.0,Dice Rolling, Modular Board, Simulation,,1_<= 30
925,925,Archaeologia,7,162391,2014,7053,6.84,87,68.42857142857143,Bad,0.06474489795918366,2.2,4,8,2,40,157,40,1.24654,1,5,33,2014,Olivier Laffont,"Exploration, Prehistoric","Action Point Allowance System, Area Movement, Hand Management, Modular Board, Set Collection, Trading",Old Casa Games,Moderate in-game text - needs crib sheet or paste ups,,1357.0,Action Point Allowance System, Area Movement, Hand Management," Modular Board, Set Collection, Trading",2_31-60
928,928,Archaeology: The New Expedition,354,191300,2016,924,7.17,1962,198.11016949152543,Good,0.1214147463262337,1.3061,5,10,2,20,3389,20,1.15775,71,275,1082,2016,Phil Walker Harding,Card Game,"Card Drafting, Press Your Luck, Set Collection","Korea Boardgames co., Ltd., Z-Man Games, Inc.",Some necessary text - easily memorized or small crib sheet,,199.0,Card Drafting, Press Your Luck, Set Collection,,1_<= 30
968,968,Ark & Noah,54,129382,2012,4355,6.63,257,203.6851851851852,Bad,0.1007656883368689,2.7222,4,8,2,45,483,45,1.1144399999999999,38,32,90,2012,Stefano Groppi,"Animals, Nautical, Novel-based, Religious","Area Control / Area Influence, Area Enclosure, Variable Phase Order, Worker Placement","ElfinWerks, Placentia Games, Post  Scriptum",No necessary in-game text,1439.0,1056.0,Area Control / Area Influence, Area Enclosure, Variable Phase Order, Worker Placement,2_31-60
1022,1022,Ars Universalis,16,151683,2015,5929,7.16,108,289.125,Good,0.0651251717032967,2.1667,4,10,2,45,139,45,1.4539,6,3,43,2015,Manuel D  Cruz Díaz    Antonio J  Dionisio,"Abstract Strategy, Educational, Medieval, Puzzle, Renaissance","Auction/Bidding, Pattern Building",Meridiano 6,No necessary in-game text,,1281.0,Auction/Bidding, Pattern Building,,,2_31-60
1027,1027,Article 27: The UN Security Council Game,193,113293,2012,2645,6.53,818,263.8031088082902,Bad,0.0936576283462004,2.12,6,10,3,30,1130,30,1.37826,92,78,300,2012,Dan Baden,"Bluffing, Negotiation, Political","Trading, Voting",Stronghold Games,No necessary in-game text,,714.0,Trading, Voting,,,1_<= 30
1035,1035,Artus,253,92643,2011,3032,6.29,925,269.9802371541502,Bad,0.06558632998543153,2.2353,4,9,2,60,1426,60,1.30246,53,72,204,2011,Michael Kiesling    Wolfgang Kramer,Medieval,Hand Management,"alea, Ravensburger Spieleverlag GmbH, Rio Grande Games",Some necessary text - easily memorized or small crib sheet,,832.0,Hand Management,,,,2_31-60
1037,1037,Arvuutin,19,68947,2010,7947,6.77,64,249.05263157894737,Bad,0.07566877128719232,1.6667,8,8,2,30,36,30,1.10358,2,1,6,2010,Touko Tahkokallio,Trivia,"Hand Management, Simultaneous Action Selection",Onni Games,Unplayable in another language,,1408.0,Hand Management, Simultaneous Action Selection,,,1_<= 30
1040,1040,Asante,233,136056,2013,1489,6.91,1350,180.6480686695279,Bad,0.07697585201221756,2.0147,2,10,2,40,2668,40,1.23494,92,205,688,2013,Rüdiger Dorn,"Card Game, Economic","Action Point Allowance System, Hand Management, Set Collection","cosaic, Filosofia Éditions, KOSMOS, Ludonova, White Goblin Games, Z-Man Games, Inc.",Moderate in-game text - needs crib sheet or paste ups,767.0,367.0,Action Point Allowance System, Hand Management, Set Collection,,2_31-60
1041,1041,Asara,524,72991,2010,896,7.03,2424,222.837786259542,Good,0.12276197192169895,2.3536,4,9,2,45,3301,45,1.1105200000000002,144,138,548,2010,Michael Kiesling    Wolfgang Kramer,"Fantasy, Medieval","Hand Management, Pattern Building, Set Collection, Worker Placement","Ravensburger Spieleverlag GmbH, Rio Grande Games",No necessary in-game text,506.0,203.0,Hand Management, Pattern Building, Set Collection, Worker Placement,2_31-60
1066,1066,Asking for Trobils,158,156442,2015,2158,7.12,630,240.03797468354432,Good,0.11420530975028804,2.0882,7,12,2,60,1113,90,1.4481899999999999,31,125,483,2015,Erin McDonald    Christian Strain,Science Fiction,"Pick-up and Deliver, Worker Placement","Breaking Games, Kraken Games",Some necessary text - easily memorized or small crib sheet,,549.0,Pick-up and Deliver, Worker Placement,,,3_61-120
1085,1085,Assist,34,83907,2011,10052,6.72,69,259.4411764705883,Bad,0.11037247577187118,1.125,7,6,3,15,96,15,1.8676599999999999,3,1,10,2011,Marco Donadoni    Angelo Porazzi,Party Game,Card Drafting,Angelo Porazzi Games,Extensive use of text - massive conversion needed to be playable,,1562.0,Card Drafting,,,,1_<= 30
1095,1095,Asteroyds,258,65200,2010,2653,6.38,1095,267.2906976744186,Bad,0.06662249664012165,2.1818,6,10,2,30,1694,30,1.34443,156,42,195,2010,Guillaume Blossier    Frédéric Henry,"Racing, Real-time, Science Fiction, Space Exploration","Action / Movement Programming, Dice Rolling, Grid Movement, Modular Board, Partnerships, Player Elimination, Set Collection, Simultaneous Action Selection, Variable Player Powers","Asmodee, Rio Grande Games, Ystari Games",No necessary in-game text,,736.0,Action / Movement Programming, Dice Rolling, Grid Movement," Modular Board, Partnerships, Player Elimination, Set Collection, Simultaneous Action Selection, Variable Player Powers",1_<= 30
1206,1206,Automobiles,432,180680,2016,654,7.4,2205,246.0625,Good,0.12893584445865527,2.1373,5,10,2,45,2619,75,1.12732,64,272,921,2016,David Short,"Racing, Sports, Transportation","Deck / Pool Building, Hand Management",Alderac Entertainment Group,Moderate in-game text - needs crib sheet or paste ups,342.0,114.0,Deck / Pool Building, Hand Management,,,3_61-120
1220,1220,Avanti,25,91668,2011,6409,6.32,172,167.52,Bad,0.10710250897581253,1.6316,5,10,3,60,275,60,1.18266,17,12,29,2011,Heinz Meister,Racing,"Point to Point Movement, Simultaneous Action Selection",Zoch Verlag,No necessary in-game text,,1297.0,Point to Point Movement, Simultaneous Action Selection,,,2_31-60
1231,1231,Avenue,183,205045,2016,1620,6.95,1088,183.6010928961749,Bad,0.10452796994705693,1.45,10,8,1,15,1459,15,1.14924,33,85,445,2016,Eilif Svensson    Kristian Amundsen Østby,"Farming, Transportation","Line Drawing, Route/Network Building","Aporta Games, Granna, Matagot, Morapiaf, NeoTroy Games, PaperGames (III), Summon Games",No necessary in-game text,,384.0,Line Drawing, Route/Network Building,,,1_<= 30
1275,1275,Azul,3099,230802,2017,37,7.94,27354,176.17747660535656,Good,0.1634597831079138,1.7991,4,8,2,30,41499,45,1.13514,177,1185,7147,2017,Michael Kiesling,"Abstract Strategy, Renaissance","Card Drafting, Pattern Building, Set Collection, Tile Placement","Next Move Games, Plan B Games, Asmodee, Broadway Toys LTD, Divercentro, Galápagos Jogos, Gém Klub Kft., Ghenos Games, Hobby Japan, KADABRA, Korea Boardgames co., Ltd., Lacerta, MINDOK, Orangutan Games, Pegasus Spiele, Tower Tactic Games, TWOPLUS Games, Zvezda",No necessary in-game text,,1.0,Card Drafting, Pattern Building, Set Collection, Tile Placement,2_31-60
1276,1276,Azul: Stained Glass of Sintra,412,256226,2018,387,7.6,3021,256.1893203883496,Good,0.16506571439904713,1.9355,4,8,2,30,5694,45,1.23116,37,355,1955,2018,Michael Kiesling,Abstract Strategy,"Card Drafting, Pattern Building, Set Collection, Tile Placement","Next Move Games, Asmodee, Broadway Toys LTD, Galápagos Jogos, Gém Klub Kft., Ghenos Games, Korea Boardgames co., Ltd., Lacerta, MINDOK, Plan B Games",No necessary in-game text,,45.0,Card Drafting, Pattern Building, Set Collection, Tile Placement,2_31-60
1291,1291,BASKETmind,10,106969,2012,10485,7.4,31,255.0,Good,0.0823281124277668,2.4,2,11,2,45,45,45,1.48476,2,26,64,2012,Miguel Marqués,"Bluffing, Sports","Dice Rolling, Pattern Recognition, Simulation",nestorgames,No necessary in-game text,,1547.0,Dice Rolling, Pattern Recognition, Simulation,,2_31-60
1296,1296,BITS,100,89668,2011,3998,6.45,374,253.15,Bad,0.12654558408751393,1.4583,4,8,1,30,439,45,1.1155899999999999,24,22,59,2011,Reiner Knizia,Puzzle,Tile Placement,Ravensburger Spieleverlag GmbH,No necessary in-game text,,984.0,Tile Placement,,,,2_31-60
1409,1409,Bangkok Klongs,78,82424,2010,5102,6.29,298,256.14102564102564,Bad,0.07407232319345383,2.3448,4,10,2,60,282,60,1.2957100000000001,12,16,62,2010,Martin Schlegel,Economic,"Set Collection, Tile Placement",dlp games,No necessary in-game text,,1156.0,Set Collection, Tile Placement,,,2_31-60
1411,1411,Banjooli Xeet,55,99459,2013,4146,6.46,400,202.6,Bad,0.13075954663216713,1.1538,5,8,2,30,461,30,1.50179,16,7,63,2013,Diego Ibañez,"Bluffing, Dice, Racing","Dice Rolling, Modular Board, Roll / Spin and Move","Asylum Games (Board Games), Jumping Turtle Games",No necessary in-game text,,1075.0,Dice Rolling, Modular Board, Roll / Spin and Move,,1_<= 30
1655,1655,Beasty Bar,395,165950,2014,1126,6.85,2536,173.7670886075949,Bad,0.1196449998915271,1.4167,4,8,2,20,3717,20,1.1679899999999999,82,80,403,2014,Stefan Kloß,"Animals, Card Game, Humor","Hand Management, Take That","999 Games, Devir, REXhry, Zoch Verlag",No necessary in-game text,,281.0,Hand Management, Take That,,,1_<= 30
1688,1688,Belle of the Ball,107,139897,2014,4615,6.08,538,214.23364485981307,Bad,0.12331019598582725,1.4839,5,13,2,30,1267,45,1.26627,97,27,132,2014,Daniel Solis,"Card Game, Humor","Card Drafting, Hand Management, Press Your Luck, Set Collection, Take That, Variable Player Powers",Greater Than Games (Dice Hate Me Games),Some necessary text - easily memorized or small crib sheet,,1141.0,Card Drafting, Hand Management, Press Your Luck," Set Collection, Take That, Variable Player Powers",2_31-60
1691,1691,Bellz!,72,167292,2014,5045,6.06,492,147.01388888888889,Bad,0.051905899969051005,1.0,4,6,2,15,743,15,1.31075,9,11,41,2014,Don Reid,Action / Dexterity,,"Broadway Toys LTD, dV Giochi, Game Factory, Goliath B.V. (Board Game), Lifestyle Boardgames Ltd, Wiggles 3D",No necessary in-game text,,1176.0,,,,,1_<= 30
1715,1715,Best Treehouse Ever,311,171890,2015,1816,6.65,1426,141.44051446945338,Bad,0.1470091351652802,1.413,4,8,2,20,2728,20,1.15644,77,98,364,2015,Scott Almes,Card Game,"Card Drafting, Pattern Building, Simultaneous Action Selection, Tile Placement","2Geeks, 999 Games, Green Couch Games, IGAMES, Kanga Games, Nasza Księgarnia",No necessary in-game text,,484.0,Card Drafting, Pattern Building, Simultaneous Action Selection, Tile Placement,1_<= 30
1727,1727,Between Two Castles of Mad King Ludwig,219,258036,2018,771,7.51,1566,264.054794520548,Good,0.10609948399804596,2.2727,7,10,2,45,3314,60,1.26044,35,238,1149,2018,Matthew O Malley    Ben Rosset,,"Card Drafting, Partnerships, Set Collection, Tile Placement","Stonemaier Games, Crowd Games, Delta Vision Publishing, Feuerland Spiele, Ghenos Games, Ludofy Creative, Maldito Games, Matagot, PHALANX",No necessary in-game text,385.0,130.0,Card Drafting, Partnerships, Set Collection, Tile Placement,2_31-60
1728,1728,Between Two Cities,1296,168435,2015,511,7.06,7847,213.77932098765442,Good,0.12801777772301784,1.8123,7,8,1,25,9962,25,1.2038799999999998,282,356,1853,2015,Matthew O Malley    Morten Monrad Pedersen    Ben Rosset,"City Building, Negotiation","Card Drafting, Partnerships, Set Collection, Simultaneous Action Selection, Tile Placement","Stonemaier Games, Arclight, Broadway Toys LTD, Ghenos Games, Korea Boardgames co., Ltd., Morning, Reflexshop, SD Games",No necessary in-game text,,113.0,Card Drafting, Partnerships, Set Collection," Simultaneous Action Selection, Tile Placement",1_<= 30
1807,1807,Birds of a Feather,103,169341,2015,3319,6.76,411,170.5631067961165,Bad,0.14155448851385574,1.25,7,9,1,15,665,15,1.1964299999999999,18,35,152,2015,Teale Fristoe,"Animals, Card Game, Educational","Hand Management, Set Collection, Simultaneous Action Selection",Nothing Sacred Games,No necessary in-game text,,855.0,Hand Management, Set Collection, Simultaneous Action Selection,,1_<= 30
