,index,Name,comment,ID,Year,Rank,Average,Users rated,comment_length,Good_bad,sentiment,averageweight,maxplayers,minage,minplayers,minplaytime,owned,playingtime,stddev,trading,wanting,wishing,yearpublished,boardgamedesigner2,boardgamecategory2,boardgamemechanic2,boardgamepublisher2,suggested_language_dependence3,Strategy Game Rank,Family Game Rank,mech1,mech2,mech3,other mech,playingtime_cat
4053,4053,Dice Drivin',49,183447,2016,5265,6.66,267,168.51020408163262,Bad,0.1451697459286745,1.3125,5,6,2,10,516,30,1.57492,11,9,33,2016,Rodrigo González,"Dice, Racing","Dice Rolling, Grid Movement, Variable Player Powers","Golden Bell Games, Vorpalia Games",Some necessary text - easily memorized or small crib sheet,,1295.0,Dice Rolling, Grid Movement, Variable Player Powers,,1_<= 30
4055,4055,Dice Forge,1040,194594,2017,312,7.34,8531,214.2519230769231,Good,0.12840903420316874,1.9369,4,10,2,45,14075,45,1.20494,198,430,2669,2017,Régis Bonnessée,"Ancient, Dice, Fantasy, Mythology","Card Drafting, Deck / Pool Building, Dice Rolling","Libellud, Asmodee, Asterion Press, Broadway Toys LTD, Gém Klub Kft., Hobby Japan, Lifestyle Boardgames Ltd, Rebel",No necessary in-game text,,51.0,Card Drafting, Deck / Pool Building, Dice Rolling,,2_31-60
4057,4057,Dice Hospital,176,218121,2018,1267,7.23,1205,213.01704545454547,Good,0.11857690456749438,2.2727,4,10,1,45,2539,90,1.28656,27,216,1046,2018,Stan Kordonskiy    Mike Nudd,"Dice, Medical","Action Point Allowance System, Dice Rolling, Variable Phase Order, Worker Placement","Alley Cat Games, Kobold Spieleverlag, Maldito Games, Super Meeple",Some necessary text - easily memorized or small crib sheet,,275.0,Action Point Allowance System, Dice Rolling, Variable Phase Order, Worker Placement,3_61-120
4060,4060,Dice Stars,162,193210,2016,2087,6.76,925,203.1172839506173,Bad,0.15600952276394867,1.3571,4,10,1,15,1621,25,1.15926,45,55,226,2016,Bruno Cathala    Ludovic Maublanc,Dice,"Deck / Pool Building, Dice Rolling, Press Your Luck","Matagot, WizKids",No necessary in-game text,,533.0,Deck / Pool Building, Dice Rolling, Press Your Luck,,1_<= 30
4062,4062,Dice Throne: Season One,448,216734,2018,566,7.85,2233,270.57142857142856,Good,0.13997217059712502,2.0698,6,8,2,20,4310,40,1.50017,58,234,1022,2018,Nate Chatellier    Manny Trembley,"Card Game, Dice, Fantasy, Fighting","Dice Rolling, Partnerships, Take That, Variable Player Powers","Mind Bottling Games, Roxley",Moderate in-game text - needs crib sheet or paste ups,,108.0,Dice Rolling, Partnerships, Take That, Variable Player Powers,2_31-60
4089,4089,Dicenstein,11,178285,2017,9225,6.39,64,313.3636363636364,Bad,0.17391728267326353,2.8,4,14,2,45,213,90,2.09774,16,5,27,2017,Chris Fernandez    Tom McGinty,"Dice, Horror, Humor","Dice Rolling, Grid Movement, Set Collection, Variable Player Powers",Petersen Games,Some necessary text - easily memorized or small crib sheet,,1530.0,Dice Rolling, Grid Movement, Set Collection, Variable Player Powers,3_61-120
4133,4133,Die Säulen der Erde: das Kartenspiel,84,67593,2010,4235,6.15,598,208.69047619047612,Bad,0.026965451221296847,2.125,4,10,3,60,1608,60,1.43317,63,16,49,2010,Michael Rieneck,"Card Game, Medieval, Novel-based","Hand Management, Trick-taking","999 Games, Devir, Filosofia Éditions, Galakta, Giochi Uniti, KOSMOS",Some necessary text - easily memorized or small crib sheet,,1067.0,Hand Management, Trick-taking,,,2_31-60
4166,4166,Dimension,226,153318,2014,1591,6.88,1258,172.32743362831852,Bad,0.12435569534409267,1.3429,4,8,1,30,1976,30,1.2033,65,112,385,2014,Lauge Luchau,"Puzzle, Real-time",Pattern Building,KOSMOS,No necessary in-game text,,396.0,Pattern Building,,,,1_<= 30
4171,4171,Dingo's Dreams,128,182116,2016,3337,6.46,584,189.515625,Bad,0.14548237816365284,1.125,4,8,2,20,1182,30,1.25502,42,42,186,2016,Alf Seegert,"Animals, Fantasy, Puzzle","Modular Board, Route/Network Building, Tile Placement",Red Raven Games,No necessary in-game text,,871.0,Modular Board, Route/Network Building, Tile Placement,,1_<= 30
4176,4176,Dino Dude Ranch,37,170477,2016,5623,7.34,128,251.8918918918919,Good,0.16484057730381255,1.5,5,8,2,20,248,40,1.70311,6,7,28,2016,Dan Letzring,"""Childrens Game"", Prehistoric","Dice Rolling, Set Collection",Letiman Games,Some necessary text - easily memorized or small crib sheet,,1319.0,Dice Rolling, Set Collection,,,2_31-60
4181,4181,Dino Race,61,156719,2014,5162,6.14,412,200.04918032786884,Bad,0.11543255569946145,1.4348,4,8,2,30,715,30,1.25292,14,25,107,2014,Roberto Grasso,"Card Game, Racing","Hand Management, Take That","Ares Games, Devir, Heidelberger Spieleverlag, Intrafin Games",No necessary in-game text,,1199.0,Hand Management, Take That,,,1_<= 30
4199,4199,Dirty Pig,130,118410,2012,4101,6.05,866,127.8846153846154,Bad,0.10620611603536348,1.06,4,7,2,10,1527,10,1.41896,24,9,44,2012,Frank Bebenroth,"Animals, Card Game",Take That,"KOSMOS, Kaissa Chess & Games, Mandoo Games, North Star Games, White Goblin Games",No necessary in-game text,,1053.0,Take That,,,,1_<= 30
4221,4221,Disney Pixar Cars 2 Sorry Sliders: World Grand Prix Race Edition,79,98529,2011,6519,6.12,226,225.2405063291139,Bad,0.08117785213340234,1.0909,4,6,2,15,432,15,1.33582,24,19,39,2011,,"Action / Dexterity, ""Childrens Game"", Movies / TV / Radio theme, Racing",,Hasbro,No necessary in-game text,,1335.0,,,,,1_<= 30
4232,4232,Divinare,287,118418,2012,1639,6.76,1427,207.1393728222997,Bad,0.09078952960580944,1.7736,4,13,2,30,1728,30,1.26147,60,65,290,2012,Brett J  Gilbert,"Bluffing, Card Game, Deduction","Card Drafting, Hand Management, Memory",Asmodee,No necessary in-game text,,422.0,Card Drafting, Hand Management, Memory,,1_<= 30
4268,4268,Dodekka,39,158791,2014,6084,6.28,205,96.17948717948721,Bad,0.06923789760808992,1.0,6,6,2,20,290,20,1.3854600000000001,10,1,31,2014,Andy Hopwood,Card Game,"Hand Management, Press Your Luck, Set Collection","AMIGO, Coiledspring Games, Kikigagne?, MINDOK",No necessary in-game text,,1289.0,Hand Management, Press Your Luck, Set Collection,,1_<= 30
4280,4280,Dogs,72,148083,2013,3368,7.06,316,213.65277777777766,Good,0.07888242191543739,2.4545,4,10,2,60,789,60,1.3538299999999999,28,39,120,2013,Marcos Macri,Animals,"Point to Point Movement, Set Collection, Worker Placement","(Self-Published), Gray Mass Games, MS Jogos",No necessary in-game text,,860.0,Point to Point Movement, Set Collection, Worker Placement,,2_31-60
4296,4296,Dominant Species: The Card Game,329,96260,2012,3664,6.02,1247,229.01215805471128,Bad,0.02740342379133205,1.9048,6,13,2,60,1911,60,1.4645299999999999,183,39,186,2012,Chad Jensen,"Card Game, Prehistoric",Hand Management,GMT Games,Some necessary text - easily memorized or small crib sheet,1384.0,1016.0,Hand Management,,,,2_31-60
4310,4310,Don Quixote,177,65990,2010,4535,6.08,604,202.9604519774012,Bad,0.05388721016982436,1.6364,4,8,1,20,755,20,1.5181,74,11,54,2010,Reinhard Staupe,"Medieval, Novel-based","Hand Management, Tile Placement",Pegasus Spiele,No necessary in-game text,,1106.0,Hand Management, Tile Placement,,,1_<= 30
4334,4334,Doodle City,142,162107,2014,3192,6.36,712,167.69014084507043,Bad,0.07894227761985595,1.4,6,8,1,30,891,30,1.25321,24,34,118,2014,Eilif Svensson    Kristian Amundsen Østby,City Building,"Dice Rolling, Line Drawing, Paper-and-Pencil, Route/Network Building","999 Games, Aporta Games",No necessary in-game text,,852.0,Dice Rolling, Line Drawing, Paper-and-Pencil, Route/Network Building,1_<= 30
4338,4338,Doodle Quest,132,152757,2014,2434,6.77,660,139.6969696969697,Bad,0.12719276082448588,1.0952,4,6,1,15,1227,15,1.09379,30,42,162,2014,Laurent Escoffier    David Franck,"Action / Dexterity, ""Childrens Game""",Line Drawing,Blue Orange Games,Some necessary text - easily memorized or small crib sheet,,631.0,Line Drawing,,,,1_<= 30
4381,4381,Downforce,541,215311,2017,428,7.43,3713,231.724584103512,Good,0.13700785383330774,1.8267,6,10,2,20,5814,40,1.18706,71,428,1701,2017,Rob Daviau    Justin D  Jacobson    Wolfgang Kramer,Racing,"Auction/Bidding, Betting/Wagering, Hand Management, Variable Player Powers","Restoration Games, 2 Pionki, Fabrika Igr, Happy Baobab, IELLO, Mancalamaro, MEBO Games, MINDOK, Portal Games, Reflexshop, Siam Board Games",Some necessary text - easily memorized or small crib sheet,,65.0,Auction/Bidding, Betting/Wagering, Hand Management, Variable Player Powers,2_31-60
4389,4389,Dr. Eureka,378,181345,2015,1375,6.7,2367,136.24867724867724,Bad,0.1191943927388388,1.0882,4,8,1,15,4455,15,1.16364,95,81,458,2015,Roberto Fraga,"Action / Dexterity, ""Childrens Game"", Puzzle, Real-time",Pattern Building,"Bard Centrum Gier, Blue Orange (EU), Blue Orange Games, Fantasmagoria, Feelindigo, FoxMind Israel, Happy Baobab, Kaissa Chess & Games, Lúdilo, Mandala Jogos, Paul Lamond Games Ltd, Pegasus Spiele, Pridemage Games, Ruibal Hermanos S.A., Swan Panasia Co., Ltd., White Goblin Games",No necessary in-game text,,356.0,Pattern Building,,,,1_<= 30
4396,4396,Dr. Shark,61,108783,2011,5488,6.19,291,261.14754098360663,Bad,0.05928298319822485,1.6,6,8,2,45,467,45,1.34235,21,21,94,2011,Antoine Bauza    Bruno Cathala,"Action / Dexterity, Spies/Secret Agents","Area Movement, Set Collection",Hurrican,No necessary in-game text,,1216.0,Area Movement, Set Collection,,,2_31-60
4420,4420,Dragon Castle,354,232219,2017,591,7.33,3076,212.8163841807909,Good,0.1384757624820779,2.0345,4,8,2,30,4952,45,1.15499,78,332,1574,2017,Hjalmar Hach    Luca Ricci    Lorenzo Silva,Abstract Strategy,"Card Drafting, Pattern Building, Pattern Recognition, Tile Placement","Horrible Games, Angry Lion Games, CMON Limited, Delta Vision Publishing, Divercentro, Edge Entertainment, Rebel",No necessary in-game text,,104.0,Card Drafting, Pattern Building, Pattern Recognition, Tile Placement,2_31-60
4441,4441,Dragon Racer,26,168582,2015,5865,6.7,165,142.53846153846158,Bad,0.1881281786701827,2.0,4,13,2,30,333,120,1.45393,16,8,49,2015,Luke English    Myles O Neill,"Card Game, Fantasy, Racing","Card Drafting, Modular Board, Press Your Luck, Set Collection, Take That, Variable Player Powers","Ogry Games, Thylacine Games",Some necessary text - easily memorized or small crib sheet,,1271.0,Card Drafting, Modular Board, Press Your Luck," Set Collection, Take That, Variable Player Powers",3_61-120
4458,4458,Dragon's Hoard,203,136594,2014,2554,6.49,1042,191.4729064039409,Bad,0.11932016912275488,1.4364,4,8,2,25,2098,45,1.3986299999999998,99,41,258,2014,Nathanael Mortensen,"Adventure, Card Game, Fantasy","Card Drafting, Hand Management, Set Collection","Mortensen Games, KOSMOS, Renegade Game Studios",Some necessary text - easily memorized or small crib sheet,,732.0,Card Drafting, Hand Management, Set Collection,,2_31-60
4465,4465,Dragonheart,581,66171,2010,1431,6.58,2903,171.83993115318415,Bad,0.10781857637982058,1.3659,2,13,2,30,3153,30,1.25206,92,80,393,2010,Rüdiger Dorn,"Bluffing, Card Game, Fantasy, Fighting",Hand Management,"KOSMOS, Fantasy Flight Games, Filosofia Éditions, Galakta, Giochi Uniti, Hobby World, MINDOK, Smart Ltd, Stupor Mundi",No necessary in-game text,,402.0,Hand Management,,,,1_<= 30
4483,4483,Dragonwood,360,172933,2015,1592,6.8,1765,165.45555555555555,Bad,0.14818645921609355,1.4884,4,8,2,20,4519,20,1.2461,95,51,411,2015,Darren Kisgen,"Adventure, Card Game, Dice, Fantasy","Dice Rolling, Hand Management, Set Collection","AURUM, Inc., Game Factory, Gamewright, Reflexshop, White Goblin Games",Some necessary text - easily memorized or small crib sheet,,441.0,Dice Rolling, Hand Management, Set Collection,,1_<= 30
4490,4490,Drakon (fourth edition),108,171630,2015,2849,6.58,722,184.28703703703704,Bad,0.08391450263322539,1.5385,6,14,2,20,1496,60,1.38259,44,21,200,2015,Tom Jolly,"Fantasy, Maze, Miniatures, Racing","Grid Movement, Modular Board, Route/Network Building, Tile Placement, Variable Player Powers","Arclight, Delta Vision Publishing, Edge Entertainment, Fantasy Flight Games, Galakta, Game Harbor, Giochi Uniti, Heidelberger Spieleverlag",Some necessary text - easily memorized or small crib sheet,,805.0,Grid Movement, Modular Board, Route/Network Building," Tile Placement, Variable Player Powers",2_31-60
4509,4509,Dream Home,546,194880,2016,819,6.97,3927,159.82417582417582,Bad,0.12961984758759412,1.6562,4,7,2,30,5923,30,1.14086,102,233,1053,2016,Klemens Kalicki,Card Game,"Card Drafting, Memory, Pattern Building, Set Collection, Variable Phase Order","Rebel, ADC Blackfire Entertainment, Asmodee, Asterion Press, Chronicle Games (Board Game), Gém Klub Kft., GoKids 玩樂小子, Hobby World, Kaissa Chess & Games, Korea Boardgames co., Ltd., MESAboardgames, Pegasus Spiele",Some necessary text - easily memorized or small crib sheet,,197.0,Card Drafting, Memory, Pattern Building," Set Collection, Variable Phase Order",1_<= 30
4541,4541,Drop It,170,244916,2018,1635,6.95,1068,172.54705882352943,Bad,0.14517247819577336,1.125,4,8,2,30,1644,30,1.25653,25,99,376,2018,Bernhard Lach    Uwe Rapp,Action / Dexterity,,"KOSMOS, 999 Games, Albi",No necessary in-game text,,377.0,,,,,1_<= 30
4602,4602,Dungeon Dice,308,136192,2014,3105,6.93,546,196.1850649350649,Bad,0.10031654678066948,2.093,5,8,2,20,1225,20,1.82928,57,54,286,2014,Sam Coates,"Adventure, Dice, Medieval, Negotiation","Deck / Pool Building, Dice Rolling","Golden Bell Games, Potluck Games",No necessary in-game text,,864.0,Deck / Pool Building, Dice Rolling,,,1_<= 30
4609,4609,Dungeon Heroes,80,127981,2013,5086,6.39,298,167.275,Bad,0.10267945448478527,1.95,2,13,1,30,725,30,1.47595,50,27,205,2013,Michael Coe,"Bluffing, Exploration, Fantasy, Medieval, Memory","Action Point Allowance System, Area Enclosure, Grid Movement, Memory, Press Your Luck, Tile Placement",Gamelyn Games,Some necessary text - easily memorized or small crib sheet,,1190.0,Action Point Allowance System, Area Enclosure, Grid Movement," Memory, Press Your Luck, Tile Placement",1_<= 30
4615,4615,Dungeon Raiders,253,80771,2011,1728,6.7,1629,168.18577075098815,Bad,0.1042069471375753,1.3977,5,8,3,20,2420,60,1.18372,77,39,273,2011,Phil Walker Harding,"Adventure, Bluffing, Card Game, Exploration, Fantasy, Fighting","Hand Management, Player Elimination, Simultaneous Action Selection, Take That, Variable Player Powers","Adventureland Games, Devir, GaGa Games, HomoLudicus, Passport Game Studios, テンデイズゲームズ (Ten Days Games)",Some necessary text - easily memorized or small crib sheet,,467.0,Hand Management, Player Elimination, Simultaneous Action Selection," Take That, Variable Player Powers",2_31-60
4617,4617,Dungeon Roll,1381,138788,2013,2184,6.15,6799,180.64735698769007,Bad,0.07834684113109998,1.3393,4,8,1,15,13402,15,1.4126299999999998,712,47,533,2013,Chris Darden,"Dice, Fantasy, Fighting","Dice Rolling, Hand Management, Press Your Luck, Variable Player Powers","Tasty Minstrel Games, Edge Entertainment, Galápagos Jogos, Hobby World, Pegasus Spiele, Raven Distribution",Some necessary text - easily memorized or small crib sheet,,740.0,Dice Rolling, Hand Management, Press Your Luck, Variable Player Powers,1_<= 30
4684,4684,Dwar7s Winter,41,241334,2018,5559,7.28,148,174.97560975609755,Good,0.10426724588578963,2.6,4,13,1,30,590,45,1.8610200000000001,17,11,76,2018,Luís Brüeh,"Adventure, Fantasy, Miniatures","Action Point Allowance System, Area Control / Area Influence, Deck / Pool Building, Hand Management",Vesuvius Media,No necessary in-game text,,1282.0,Action Point Allowance System, Area Control / Area Influence, Deck / Pool Building, Hand Management,2_31-60
4689,4689,Dwarven Miner,46,142401,2013,5448,6.53,214,219.8260869565217,Bad,0.08633405304433993,1.9091,4,12,2,30,430,30,1.42685,27,8,65,2013,Mike Richie,Fantasy,"Dice Rolling, Hand Management, Press Your Luck, Variable Player Powers",Rather Dashing Games,Some necessary text - easily memorized or small crib sheet,,1253.0,Dice Rolling, Hand Management, Press Your Luck, Variable Player Powers,1_<= 30
4753,4753,Eat Me If You Can!,91,145722,2012,5184,6.06,459,151.4175824175824,Bad,0.07527339128240756,1.0357,6,6,3,10,826,10,1.38091,34,4,56,2012,Jun ichi Sato,"Bluffing, Deduction",Press Your Luck,"999 Games, Arclight, GoKids 玩樂小子, Hobby World, IELLO, Japon Brand, Junias, Kunpu, Purple Brain Creations, Switch Games, uplay.it edizioni",No necessary in-game text,,1197.0,Press Your Luck,,,,1_<= 30
4778,4778,Eggs and Empires,173,156180,2014,2232,6.75,795,189.0520231213873,Bad,0.13201521243131953,1.2647,6,8,2,25,1385,25,1.1840899999999999,82,30,143,2014,Ben Pinchback    Matt Riddle,"Bluffing, Card Game, Deduction, Fantasy","Auction/Bidding, Hand Management, Simultaneous Action Selection",Eagle-Gryphon Games,Some necessary text - easily memorized or small crib sheet,,595.0,Auction/Bidding, Hand Management, Simultaneous Action Selection,,1_<= 30
4784,4784,Eight-Minute Empire,982,131366,2012,1054,6.61,6592,166.4979633401222,Bad,0.08888052069742082,1.6269999999999998,5,13,2,8,8158,20,1.15656,314,188,915,2012,Ryan Laukat,Territory Building,"Area Control / Area Influence, Area Movement, Card Drafting, Set Collection","Red Raven Games, 999 Games, Bard Centrum Gier, Brain Games, Competo / Marektoy, Devir, dV Giochi, Hobby Japan, Hobby World, Ideal Board Games, IELLO, Kaissa Chess & Games, Laser plus, MINDOK, Piatnik, Schwerkraft-Verlag, Swan Panasia Co., Ltd.",No necessary in-game text,664.0,297.0,Area Control / Area Influence, Area Movement, Card Drafting, Set Collection,1_<= 30
4785,4785,Eight-Minute Empire: Legends,663,142326,2013,732,7.01,3870,213.52036199095025,Good,0.13498598536429318,1.9756,4,13,2,16,6383,32,1.1293799999999998,222,204,888,2013,Ryan Laukat,"Civilization, Exploration, Mythology, Territory Building","Area Control / Area Influence, Area Movement, Card Drafting, Modular Board, Set Collection, Variable Player Powers","Red Raven Games, dV Giochi, Hobby Japan, Hobby World, IELLO, MINDOK, NeoTroy Games, Schwerkraft-Verlag",Some necessary text - easily memorized or small crib sheet,443.0,171.0,Area Control / Area Influence, Area Movement, Card Drafting," Modular Board, Set Collection, Variable Player Powers",2_31-60
4812,4812,El Gaucho,258,162823,2014,1526,6.84,1416,233.29844961240312,Bad,0.08785760861455186,2.2179,4,10,2,60,1990,60,1.05265,89,76,341,2014,Arve D  Fühler,"Animals, Farming","Dice Rolling, Set Collection, Worker Placement","Argentum Verlag, Egmont Polska, The Game Master BV",No necessary in-game text,782.0,389.0,Dice Rolling, Set Collection, Worker Placement,,2_31-60
4861,4861,Elements,132,73313,2010,2987,6.87,422,239.5909090909091,Bad,0.1280985566265123,1.3571,2,8,2,10,621,20,1.2536200000000002,18,42,210,2010,team SAIEN,"Bluffing, Card Game",Hand Management,"Saien, Arclight, Ediciones MasQueOca, Pegasus Spiele",No necessary in-game text,,755.0,Hand Management,,,,1_<= 30
4863,4863,Eleminis,68,90050,2010,8097,6.03,206,171.2647058823529,Bad,0.0539619018907668,1.1429,8,7,2,15,394,15,1.6782400000000002,15,6,33,2010,Matthew Laird    Michael Laird    Joshua Laird,"Card Game, ""Childrens Game"", Party Game","Hand Management, Set Collection, Take That","Flying Meeple, Game Salute, Smiley POP",No necessary in-game text,,1488.0,Hand Management, Set Collection, Take That,,1_<= 30
4866,4866,Elevenses,223,144388,2013,3101,6.27,995,171.8968609865471,Bad,0.09111744508857672,1.386,4,10,2,30,2011,30,1.3586200000000002,86,26,170,2013,David Harding  II,"Card Game, Print & Play",Hand Management,"Adventureland Games, Grail Games",Moderate in-game text - needs crib sheet or paste ups,,868.0,Hand Management,,,,1_<= 30
4872,4872,Elfenroads,122,180325,2015,2948,7.11,358,207.5245901639344,Good,0.09960086673201768,2.2222,6,13,2,45,1175,90,1.2574,33,57,236,2015,Alan R  Moon,"Fantasy, Travel","Card Drafting, Hand Management, Point to Point Movement, Route/Network Building","999 Games, AMIGO, Giochi Uniti, Mercurio, Rio Grande Games, Swan Panasia Co., Ltd.",No necessary in-game text,1181.0,739.0,Card Drafting, Hand Management, Point to Point Movement, Route/Network Building,3_61-120
4883,4883,Ember: the Magical Card Game,39,183405,2016,7692,7.01,107,403.58974358974365,Good,0.10759476086490244,1.5,5,12,2,10,308,30,1.77167,9,2,17,2016,Stuart Garside,"Card Game, Fantasy","Memory, Take That",District 31,,,1484.0,Memory, Take That,,,1_<= 30
4942,4942,End of the Trail,31,228378,2018,6302,7.22,111,259.0967741935484,Good,0.16073040178261394,2.0,4,10,1,20,293,40,1.61948,28,12,83,2018,Mike Hinson,"American West, Bluffing, Card Game, Exploration","Auction/Bidding, Hand Management, Memory, Modular Board, Press Your Luck, Set Collection",Elf Creek Games,Some necessary text - easily memorized or small crib sheet,1671.0,1360.0,Auction/Bidding, Hand Management, Memory," Modular Board, Press Your Luck, Set Collection",2_31-60
4961,4961,Enigma,155,127312,2012,2982,6.44,739,230.8967741935484,Bad,0.08178352890466968,2.0769,4,8,2,45,1132,45,1.41028,48,38,194,2012,Touko Tahkokallio,"Adventure, Puzzle, Real-time","Pattern Recognition, Tile Placement","Albi, Competo / Marektoy, Filosofia Éditions, Z-Man Games, Inc., Zoch Verlag",No necessary in-game text,,811.0,Pattern Recognition, Tile Placement,,,2_31-60
4968,4968,Entropy,87,171339,2015,4418,6.27,461,226.24137931034485,Bad,0.12275920480721728,1.8824,6,12,2,15,1044,15,1.46091,68,8,54,2015,Allen Chang    Alistair Kearney,"Bluffing, Card Game, Deduction, Science Fiction","Hand Management, Simultaneous Action Selection, Variable Player Powers",Rule & Make,Some necessary text - easily memorized or small crib sheet,1498.0,1107.0,Hand Management, Simultaneous Action Selection, Variable Player Powers,,1_<= 30
5003,5003,Eruption,165,88594,2011,3342,6.37,675,216.3757575757576,Bad,0.05962175335242019,2.0208,6,10,2,30,859,60,1.30062,39,74,347,2011,Chris James  I,,"Dice Rolling, Partnerships, Tile Placement","Magellan, Mosigra, Stratus Games",Some necessary text - easily memorized or small crib sheet,,888.0,Dice Rolling, Partnerships, Tile Placement,,2_31-60
5026,5026,Escape the Room: Mystery at the Stargazer's Manor,305,193560,2016,1931,6.63,1288,237.75081967213114,Bad,0.20058580228788792,1.5161,8,10,3,90,2508,90,1.46553,124,48,240,2016,Rebecca Bleau    Nicholas Cravotta,"Murder/Mystery, Party Game, Puzzle","Cooperative Play, Memory, Paper-and-Pencil, Pattern Recognition, Storytelling","HCM Kinzel, Korea Boardgames co., Ltd., Mercurio, Peliko/Martinex Oy, ThinkFun",Extensive use of text - massive conversion needed to be playable,,514.0,Cooperative Play, Memory, Paper-and-Pencil," Pattern Recognition, Storytelling",3_61-120
5029,5029,Escape: The Curse of the Temple,2547,113294,2012,457,7.04,13976,195.6965056929721,Good,0.1088975630407574,1.4813,5,8,1,10,17847,10,1.39554,567,530,3375,2012,Kristian Amundsen Østby,"Adventure, Dice, Electronic, Exploration, Real-time","Cooperative Play, Dice Rolling, Grid Movement, Modular Board, Press Your Luck, Roll / Spin and Move, Tile Placement","Queen Games, Rebel",No necessary in-game text,,106.0,Cooperative Play, Dice Rolling, Grid Movement," Modular Board, Press Your Luck, Roll / Spin and Move, Tile Placement",1_<= 30
5036,5036,Eselsbrücke,38,90009,2011,3391,6.95,323,206.07894736842098,Bad,0.08457413792453837,1.6842,12,8,3,30,570,45,1.47059,27,17,101,2011,Stefan Dorra    Ralf zur Linde,Memory,"Memory, Storytelling","Schmidt Spiele, Swan Panasia Co., Ltd.",No necessary in-game text,,848.0,Memory, Storytelling,,,2_31-60
5070,5070,Everdell,579,199792,2018,183,7.98,3664,313.0310880829016,Good,0.1679771422393915,2.8429,4,13,1,40,5753,80,1.35851,18,869,4736,2018,James A  Wilson,"Animals, Card Game, City Building, Fantasy","Card Drafting, Hand Management, Set Collection, Worker Placement","Starling Games (II), Hobby World, Maldito Games, Rebel, REXhry, YOKA Games",Extensive use of text - massive conversion needed to be playable,109.0,15.0,Card Drafting, Hand Management, Set Collection, Worker Placement,3_61-120
5078,5078,Evo (second edition),291,107255,2011,1104,6.98,2000,235.43642611683845,Bad,0.0860533665775996,2.3769,5,14,2,60,2110,60,1.21281,64,164,535,2011,Philippe Keyaerts,"Prehistoric, Science Fiction","Area Movement, Auction/Bidding, Variable Player Powers","Asmodee, Asterion Press, Descartes Editeur",Moderate in-game text - needs crib sheet or paste ups,613.0,268.0,Area Movement, Auction/Bidding, Variable Player Powers,,2_31-60
5083,5083,Evolution: The Beginning,240,201248,2016,1785,6.78,1228,211.57083333333333,Bad,0.1410148605128385,1.6667,5,8,2,30,3221,30,1.3136700000000001,198,53,293,2016,Dominic Crapuchettes,"Animals, Card Game, Educational, Environmental, Prehistoric","Action Point Allowance System, Hand Management, Simulation","North Star Games, Schmidt Spiele",Some necessary text - easily memorized or small crib sheet,,468.0,Action Point Allowance System, Hand Management, Simulation,,1_<= 30
5084,5084,Evolution: The Origin of Species,227,71021,2010,2584,6.32,1642,193.18061674008808,Bad,0.04249819752856246,2.051,4,12,2,30,2103,60,1.51203,65,32,203,2010,Dmitry Knorre    Sergey Machin,"Animals, Card Game, Dice","Dice Rolling, Hand Management","Rightgames RBG SIA, G3, More Fun Co., Ltd., RBG, Stolitsa Design Group, TWOPLUS Games, ТРЕТЯ ПЛАНЕТА",Moderate in-game text - needs crib sheet or paste ups,,776.0,Dice Rolling, Hand Management,,,2_31-60
5087,5087,Ex Libris,456,201825,2017,614,7.28,3087,275.015350877193,Good,0.11172712927418987,2.5352,4,10,1,45,5335,45,1.25807,108,479,2514,2017,Adam P  McIver,"Card Game, Fantasy","Card Drafting, Hand Management, Set Collection, Tile Placement, Variable Player Powers, Worker Placement","Renegade Game Studios, Lavka Games, Origames, Portal Games, Raven Distribution, REXhry, Schwerkraft-Verlag",Some necessary text - easily memorized or small crib sheet,363.0,118.0,Card Drafting, Hand Management, Set Collection," Tile Placement, Variable Player Powers, Worker Placement",2_31-60
5099,5099,Exit: The Game – The Abandoned Cabin,689,203420,2016,180,7.67,5786,214.3701015965167,Good,0.14912566955722928,2.5823,6,12,1,60,9353,120,1.2407,136,132,864,2016,Inka Brand    Markus Brand,"Deduction, Puzzle, Real-time",Cooperative Play,"KOSMOS, 999 Games, Devir, Galakta, Giochi Uniti, IELLO, Kaissa Chess & Games, Korea Boardgames co., Ltd., Lautapelit.fi, Piatnik, Zvezda",Unplayable in another language,,16.0,Cooperative Play,,,,3_61-120
5107,5107,Exit: The Game – The Secret Lab,445,203417,2016,543,7.24,3872,207.61348314606738,Good,0.11923400484190545,2.6053,6,12,1,45,7362,150,1.36042,62,94,563,2016,Inka Brand    Markus Brand,"Deduction, Puzzle, Real-time",Cooperative Play,"KOSMOS, 999 Games, Devir, Galakta, Giochi Uniti, IELLO, Kaissa Chess & Games, Korea Boardgames co., Ltd., Lautapelit.fi, Piatnik, Spilbraet.dk, Vennerød Forlag AS, Zvezda",Unplayable in another language,,99.0,Cooperative Play,,,,4_>= 121
5114,5114,Exoplanets,116,163976,2015,2785,6.64,659,197.06896551724137,Bad,0.06727974066747859,2.3714,4,12,2,45,1362,60,1.3877700000000002,91,53,340,2015,Przemysław Świerczyński,"Science Fiction, Territory Building","Area Control / Area Influence, Card Drafting, Hand Management, Tile Placement","Board&Dice, Greater Than Games (Fabled Nexus)",Some necessary text - easily memorized or small crib sheet,1171.0,790.0,Area Control / Area Influence, Card Drafting, Hand Management, Tile Placement,2_31-60
